Coffee planet, 127876-2175637, shop no.1 FF sector phase 4 DHA ,Lahore
Kfc, 042-37182271, y block market shop no.12 DHA ,Lahore
Macdonald's, 111244622, H block market DHA shop no.7 ,Lahore
Pizza hut, 111-241-241, H block market DHA shop no.11 ,Lahore
Subway, 042-234358549, shop no.7 j block phase 5 DHA ,Lahore
Pizza hut, 111-241-241, y block market shop no.2 DHA ,Lahore
Maaro tandoor, 4210987, H block market DHA ,Lahore
Dogar restaurant, 6688991, H block market shop no.1 DHA ,Lahore
Karachi Hot n spicy, 4237890, H block market shop no.2 DHA ,Lahore
Karachi bbq, 35678901, H block market shop no.3 DHA ,Lahore
Karachi silver spoon, 4327896, H block market shop no.4 DHA ,Lahore
Jaidi biryani, 2349871, H block market shop no.6 DHA ,Lahore
Chatkhara, 5678920, H block market DHA shop no.8 ,Lahore
Red apple, 6789021, H block market DHA shop no.9 ,Lahore
Macdonald's, 111244622, y block market DHA shop no.16 ,Lahore
X2(pan asian dine), 3456981, y block market shop no. 1 DHA ,Lahore
Yumz chinese, 112334289, y block market shop no.3 DHA ,Lahore
The wok, 456889372, y block market shop no.4 DHA ,Lahore
Dunkin Donuts, 67891112, y block market shop no.7 DHA ,Lahore
Domino's pizza, 7658990, y block market shop no.9 DHA ,Lahore
Domino's pizza, 7658990, U block market shop no.8 DHA ,Lahore
Meikong chinese, 345656-3210986, FF sector phase 4 DHA ,Lahore
Sarpino's pizza, 6752219, y block market shop no.12 DHA ,Lahore
Johnny and jugnu, 8902217, y block market shop no.11 DHA ,Lahore
Gourmet grill, 6877978, y block market shop no.13 DHA ,Lahore
Second cup, 768769708-89766, y block market shop no.14 DHA ,Lahore
Gloria jeans, 7092871-8761928, y block market shop no.14 DHA ,Lahore
Jade cafe, 7632152-21786, shop no. 2 FF sector phase 4 DHA ,Lahore
China town, 764587-67578, shop no.3 FF sector phase 4 DHA ,Lahore
The beans, 89656-86754, shop no.4 FF sector phase 4 DHA ,Lahore
Optp, 98990-765478, shop no.3 T block phase 3 DHA ,Lahore
Choco palace, 32684-736245, shop no.1 T block phase 3 DHA ,Lahore
Dogar restaurant, 378267-93287, shop no.2 T block phase 3 DHA ,Lahore
Jalal sons, 32443-324554, shop no.2 j block phase 5 DHA ,Lahore
Kfc, 042-37182271, shop no.3 j block phase 5 DHA ,Lahore
Subway, 042-343567758, shop no.5 T block phase 3 DHA ,Lahore
Chaye khana, 042-324354453, shop no.9 y block market shop no.15 DHA ,Lahore
